Student,Degree,Department,Year-Month,Thesis Title,Link
Wei Chien,Master,"Department of Geography, National Taiwan University",2024,Estimating Localized Spatial Autocorrelation for Characterizing Spatial Structures of Infectious Disease Transmission: Comparing Diffusion Patterns of Dengue Epidemics of Tainan City in 2015 and 2023,https://tdr.lib.ntu.edu.tw/handle/123456789/94823
Hui-Chun Lee,Master,"Department of Geography, National Taiwan University",2024,Building Player-Based Model in Multiplayer Online Games––the Impact of Exposure Networks on Vaccine Decisions,https://tdr.lib.ntu.edu.tw/handle/123456789/92819
Yu-Hsiang Lin,Master,"Department of Geography, National Taiwan University",2024,Matching Early Instrumental and Documentary Reconstructed Climate Data in Time and Space: An Analysis of Precipitation Data in Different Climate Zones of China in the mid-19th Century Onward,https://tdr.lib.ntu.edu.tw/handle/123456789/91577
Ying-Pei Lin,Master,"Department of Geography, National Taiwan University",2024,Evaluating the Impact of the COVID-19 on the Transit Function of Urban Transportation: A Hierarchical Cluster Analysis of a Multimodal Network Model,https://tdr.lib.ntu.edu.tw/handle/123456789/94623
Pin-Han Hsu,Master,"Department of Geography, National Taiwan University",2023,Creating a consensus self-organizing map for predicting dengue diffusion in time and space,https://tdr.lib.ntu.edu.tw/handle/123456789/87208
Min-Qian Chang,Master,"Department of Geography, National Taiwan University",2023,Exploring the Role of Human Mobility in Mediating the Impact of Risk Perception on COVID-19 Pandemic Dynamics: A Distributed-Lag Structural Equation Modeling Approach,https://tdr.lib.ntu.edu.tw/handle/123456789/88799
Yu-Hsiang Yang,Master,"Department of Geography, National Taiwan University",2023,Characterizing Spatial Clusters of Increase in Suicide Rate during COVID-19 Pandemic in Japan,https://tdr.lib.ntu.edu.tw/handle/123456789/87934
Tian-En Xia,Master,"Department of Geography, National Taiwan University",2023,Simulating Spatiotemporal Patterns of Interpersonal Contacts in the MRT Transfer Platform: Using Smart Card Data and Agent-based Modeling,https://www.airitilibrary.com/Article/Detail/U0001-1115230803178021
Wei-Jye Goy,Master,"Department of Geography, National Taiwan University",2023,Spatial Analysis of Football Match: Using agent-based model to explore the attacking patterns of football teams under different strategic scenarios,https://tdr.lib.ntu.edu.tw/handle/123456789/88634
Li-Heng Chen,Master,"Department of Geography / Statistics Master’s Degree Program, National Taiwan University",2023,An Optimal Zoning Algorithm For Preserving of Spatial Heterogeneity,https://tdr.lib.ntu.edu.tw/handle/123456789/83249
Fei-Ying Kuo,Ph.D.,"Graduate Institute of Geography, National Taiwan University",2021,Understanding Spatial Diffusion of Infectious Diseases: Geo-computational Approaches,https://www.airitilibrary.com/Article/Detail/U0001-0807202123365900
Chen-Hsuan Tu,Master,"Graduate Institute of Geography, National Taiwan University",2021,Estimating epidemic trends of source countries through international travel and imported cases: a case study of dengue in Southeast Asia,https://www.airitilibrary.com/Article/Detail/U0001-0908202111360100
Wei-Ming Jiang,Master,"Graduate Institute of Geography, National Taiwan University",2021,Using the Internet Volume in Southeast Asia to Predict the Imported Risk of Dengue Fever in Taiwan: a Deep Learning Model,https://www.airitilibrary.com/Article/Detail/U0001-2308202115172100
Mei-Hui Huang,Master,"Graduate Institute of Geography, National Taiwan University",2020,Evaluating the Learning Performance of Contour Map Reading in Taiwan Senior High School Students Using Eye Tracking Technology,https://www.airitilibrary.com/Article/Detail/U0001-1202202022075300
Yi-Huei Liu,Master,"Graduate Institute of Geography, National Taiwan University",2019,Characterizing Urban Traffic Congestion Propagation Process in Different Built Environments: Using Multilevel Growth Modeling,https://www.airitilibrary.com/Article/Detail/U0001-1808201923304400
Song-Cian Wang,Master,"Graduate Institute of Geography, National Taiwan University",2019,Using Twitter Data for Identifying Urban Park Service Areas among Different Users: a Case Study of Tokyo Parks,https://www.airitilibrary.com/Article/Detail/U0001-1808201918053100
Miao-Jung Chien,Master,"Graduate Institute of Geography, National Taiwan University",2019,Establishing a Rapid Assessment Platform for Global-scale Spatial Transmission Risk of Mosquito-borne Diseases,https://www.airitilibrary.com/Article/Detail/U0001-1608201900493400
Meng-Ping Haung,Master,"Statistics Master’s Degree Program, Center for General Education, National Taiwan University",2019,Grouping with the Similarity of Human Movements: A Case Study of Trading Area Analysis in Tokyo City,https://www.airitilibrary.com/Article/Detail/U0001-1908201907463100
Hao-Yu Liao,Master,"Graduate Institute of Geography, National Taiwan University",2019,Detecting urban water bodies from SAR images: Measuring urban surface morphology contributing to radar double bounce effect,https://www.airitilibrary.com/Article/Detail/U0001-2603201908594100
Wei Chien Benny Chin,Ph.D.,"Graduate Institute of Geography, National Taiwan University",2018,The scaling properties of point clustering phenomena,https://ndltd.ncl.edu.tw/r/58psp4
Wei-yi Fong,Master,"Graduate Institute of Geography, National Taiwan University",2017,Evaluating the Estimation Errors of Using Spatial Microsimulation in Demographic Characteristics and Spatial Structures of Micro-data,https://tdr.lib.ntu.edu.tw/handle/123456789/59673
Tzu-Hsin Chen,Master,"Graduate Institute of Geography, National Taiwan University",2016,Exploring the Spatial Temporal Vulnerability on Epidemiological Characteristics of Dengue Diffusion: A Multilevel Modeling Analysis,https://www.airitilibrary.com/Article/Detail/U0001-1908201615442500
Ching-Shun Hsu,Master,"Graduate Institute of Geography, National Taiwan University",2016,A framework for assessing personalized exposure risks in infectious disease transmission,https://tdr.lib.ntu.edu.tw/handle/123456789/51391
Chien-Min Wang,Master,"Graduate Institute of Geography, National Taiwan University",2016,Indoor Spatial Location-allocation Modeling for Emergency Medical Facilities: Allocating the Automated External Defibrillators (AED) in the NTU Common Subjects Classroom Building,https://tdr.lib.ntu.edu.tw/handle/123456789/51363
Yi-Hsiang Tseng,Master,"Graduate Institute of Geography, National Taiwan University",2014,Using Optimal Foraging Theory to Analyze Spatial Movement Behavior of Serial Burglars,https://www.airitilibrary.com/Article/Detail/U0001-1808201409262400
Pei-Chun Lai,Master,"Graduate Institute of Geography, National Taiwan University",2014,Analyzing the Link Relationships of Urban Road Networks for Assessing Traffic Impact Areas,https://www.airitilibrary.com/Article/Detail/U0001-1808201411145600
Chieh-Ting Tsai,Master,"Graduate Institute of Geography, National Taiwan University",2014,The Role of Imported Cases and Social-demographic Conditions in the Spatial Transmission of Dengue Epidemics,https://www.airitilibrary.com/Article/Detail/U0001-1808201415203700
Wei-Chuan Chen,Master,"Graduate Institute of Geography, National Taiwan University",2013,Geographically Modified PageRank Algorithms: Measuring the Importance of Nodes in a Geospatial Network,https://ndltd.ncl.edu.tw/handle/46954668310102513613
I-Hsiang Wang,Master,"Graduate Institute of Geography, National Taiwan University",2013,Establishment of a spatial-temporal model for tracking contagious diffusion of disease clustering,https://tdr.lib.ntu.edu.tw/handle/123456789/62156
Chia-Jung Lin,Master,"Graduate Institute of Geography, National Taiwan University",2013,The Impact of Tourism Attractiveness on Travel Demand: A Case Study in Taiwan,https://tdr.lib.ntu.edu.tw/handle/123456789/17118
Yu-Chun Lin,Master,"Graduate Institute of Geography, National Taiwan University",2012,Geographical Profiling Applied to Identification of Different Distance-decay Patterns and Spatial Prediction of Anchor Points for Serial Residential Burglars in Taipei,https://ndltd.ncl.edu.tw/handle/64400983561965508569
Yi-Tin Huang,Master,"Graduate Institute of Geography, National Taiwan University",2011,Spatial-temporal Analysis of Dengue Transmission through Daily Movement of Population,https://tdr.lib.ntu.edu.tw/handle/123456789/10303
